price,mileage,power,make_model,date,fuel,gear,offer_type,version,link;
23990,150,218.0,Honda,03/2020,Gasoline,Manual,Demonstration,CBR1000RR-R Fireblade SP,/offers/honda-others-cbr1000rr-r-fireblade-sp-gasoline-red-c867308b-8d2f-42bd-943a-eb278d5dbe2d;
7500,2871,90.0,BMW F 800 GT,09/2018,Gasoline,Manual,Used,,/offers/bmw-f-800-gt-gasoline-white-f65273c6-601b-7e55-e053-0100007f0a0f;
800,1700,3.0,Nova Motors Retro Star,10/2019,Gasoline,,Used,,/offers/nova-motors-retro-star-gasoline-red-f8e797ba-ec6f-9427-e053-0100007f83cc;
14990,24345,,Aprilia RSV4,03/2016,Gasoline,,Used,RF,/offers/aprilia-rsv4-rf-gasoline-silver-1b51fe03-90ac-4fbd-bbce-6b6e69a6106f;
6200,25000,128.0,Kawasaki Ninja ZX-6R,08/2009,Gasoline,,Used,,/offers/kawasaki-ninja-zx-6r-gasoline-blue-2f8da7b1-3d19-465f-a6fd-5fa64c64edda;
1500,3000,1.0,Aprilia Mojito 50,07/2010,Gasoline,,Used,,/offers/aprilia-mojito-50-gasoline-black-9283e0e0-2424-4dd0-8e24-68c9dc74e575;
10500,1,71.0,Suzuki V-Strom 650,12/2021,Gasoline,,Pre-registered,XT ABS DL 650 XT,/offers/suzuki-v-strom-650-xt-abs-dl-650-xt-gasoline-yellow-ab671b3d-5ffe-4083-8a54-bc2b7191c96b;
8500,13000,105.0,Yamaha MT-09,05/2018,Gasoline,,Used,,/offers/yamaha-mt-09-gasoline-blue-ab3bb425-ad22-4d3e-9472-90255144fca6;
2000,19000,15.0,Kymco Super Dink 125,10/2016,Gasoline,,Used,,/offers/kymco-super-dink-125-gasoline-grey-67c53fc4-1b92-d71f-e053-0100007f1efc;
8250,6400,126.0,Yamaha MT-09,06/2019,Gasoline,,Used,,/offers/yamaha-mt-09-gasoline-grey-936ab0c6-480d-4165-e053-0100007f6df7;
23600,2900,84.0,Harley-Davidson Sport Glide,06/2019,Gasoline,Manual,Used,,/offers/harley-davidson-sport-glide-gasoline-black-94632abb-770f-1d6e-e053-0100007f0db9;
12500,1750,126.0,Indian FTR 1200,07/2019,Gasoline,,Used,,/offers/indian-ftr-1200-gasoline-black-64e31ec7-2ea2-2028-e053-0100007f45fc;
18000,700,41.0,Ural Ranger,03/2021,Gasoline,Manual,Used,Euro4 2WD,/offers/ural-ranger-euro4-2wd-gasoline-black-ce674cc5-eb45-e408-e053-0100007fcab5;
1150,14000,10.0,Kymco Agility 125,05/2015,Gasoline,,Used,,/offers/kymco-agility-125-gasoline-black-9aebaf58-787b-4e65-a090-07dccc22c40f;
10000,80000,125.0,Harley-Davidson Night Rod,09/2010,Gasoline,Manual,Used,Night rod special,/offers/harley-davidson-night-rod-night-rod-special-gasoline-black-95dc7890-de65-4df8-b2cd-78187a8afd67;
10000,15300,110.0,Ducati Hypermotard 939,07/2018,Gasoline,,Used,,/offers/ducati-hypermotard-939-gasoline-red-fc35a0c6-5231-c44d-e053-0100007fb6a4;
12200,4178,110.0,BMW R nineT,06/2018,Gasoline,,Used,,/offers/bmw-r-ninet-gasoline-white-a306f0c3-f366-cd51-e053-0100007f3a34;
12500,18000,82.0,Harley-Davidson Road King,02/1996,Gasoline,Manual,Used,FLHR Road King,/offers/harley-davidson-road-king-flhr-road-king-gasoline-black-40f558ba-a6ad-4cc6-ad2e-b434e30e1c45;
9490,10000,,Kawasaki Versys 650,01/2019,,Manual,Used,GRAND TOURER,/offers/kawasaki-versys-650-grand-tourer-black-0979e668-f61d-446e-94c6-38beb6c10a0d;
9490,12600,61.0,BMW R 1200 C Montauk,01/2004,Gasoline,Manual,Used,,/offers/bmw-r-1200-c-montauk-gasoline-silver-8887fc9e-e7d5-4016-b925-2e0e60b28835;
10000,49500,64.0,Harley-Davidson Softail,05/2004,Gasoline,,Used,,/offers/harley-davidson-softail-gasoline-blue-5b6d9bc5-ece5-3e75-e053-0100007f2c54;
9999,0,,Yamaha,01/2021,,,New,TRACER 7,/offers/yamaha-others-tracer-7-grey-6d7af473-3e07-44d3-999e-9bb118d39c6d;
"10950,10551,185.0,Suzuki,05/2015,Gasoline,Manual,Used,""Sport GSX R 1000, ABS, Complete titanium Yoshimura"",/offers/suzuki-others-sport-gsx-r-1000-abs-complete-titanium-yoshimura-gasoline-blue-e489ad1d-e9de-44e9-a02c-f5a7800e161e";
16690,0,,BMW R nineT,01/2019,,,New,Pure,/offers/bmw-r-ninet-pure-white-f695d424-cf0b-4620-8b8e-fbf340c76812;
1100,60,,Others,09/2018,,Automatic,Used,E-Mover 800W Metallkorb/Kofferraum/Spiegel,/offers/others-others-e-mover-800w-metallkorb-kofferraum-spiegel-red-abb4c5ae-91e4-4914-8a3a-eca09e64a452;
8000,5200,68.0,Peugeot Metropolis,03/2016,Gasoline,Automatic,Used,400,/offers/peugeot-metropolis-400-gasoline-red-854c0b5f-4633-a57c-e053-e350040a848c;
6590,27630,68.0,Triumph Bonneville T100,06/2009,,,Used,Black,/offers/triumph-bonneville-t100-black-black-423cfc1f-31e3-4fd1-bff7-b864ec4b2465;
7000,8470,61.0,Kawasaki Vulcan S,07/2019,Gasoline,,Used,,/offers/kawasaki-vulcan-s-gasoline-orange-27fd18c7-ee6b-a875-e053-0100007f7184;
7650,14500,131.0,Triumph Speed Triple 1050,03/2010,Gasoline,,Used,,/offers/triumph-speed-triple-1050-gasoline-white-d47454c4-d022-2e53-e053-0100007ff30b;
8300,52000,57.0,Harley-Davidson Low Rider,04/1989,Gasoline,Manual,Used,,/offers/harley-davidson-low-rider-gasoline-black-92c5e5bc-c485-fc48-e053-0100007f6e8e;
"11300,41973,152.0,Ducati Multistrada 1200,07/2016,Gasoline,Manual,Used,""Enduro 1.Hand , Scheckheftgepfl"",/offers/ducati-multistrada-1200-enduro-1-hand-scheckheftgepfl-gasoline-white-d5838155-4b34-4c2a-bb71-e6b392576d25";
19990,6000,203.0,Kawasaki,01/2019,,,Used,ZX 10 R SE,/offers/kawasaki-others-zx-10-r-se-black-241ed7a5-abfa-47dc-beb7-387ede703440;
100,9288,4.0,Piaggio NRG 50,06/2020,Gasoline,Automatic,Used,Typ C21,/offers/piaggio-nrg-50-typ-c21-gasoline-black-3805b163-e275-4e33-af50-cda614df5ad1;
13490,7883,165.0,BMW S 1000 XR,07/2018,Gasoline,Manual,Used,ABS Koffer Topcase 1.Hand,/offers/bmw-s-1000-xr-abs-koffer-topcase-1-hand-gasoline-red-3f97c442-f1ad-4774-bb8e-02ae7465c1c6;
10000,36000,148.0,Ducati Multistrada 1200,03/2012,Gasoline,,Used,Ducati Multistrada 1200 S Sport full carbon,/offers/ducati-multistrada-1200-ducati-multistrada-1200-s-sport-full-carbon-gasoline-red-8735b410-0bd9-4abc-93c4-964913a694e3;
"12400,99000,101.0,Harley-Davidson Road King,05/2009,Gasoline,Manual,Used,""Classic ABS FLHRC,Top-Zustand,Voll-Ausstattung!"",/offers/harley-davidson-road-king-classic-abs-flhrc-top-zustand-voll-ausstattung-gasoline-black-c4210958-3bfa-4989-94aa-49d5a81d5500";
9500,35000,117.0,Harley-Davidson V-Rod,07/2003,Gasoline,,Used,Anniversary,/offers/harley-davidson-v-rod-anniversary-gasoline-silver-528650b5-a46a-0d32-e053-0100007fedec;
6990,4935,110.0,MV Agusta Brutale 675,07/2012,Gasoline,Manual,Used,,/offers/mv-agusta-brutale-675-gasoline-white-1290a8b9-4f56-f606-e053-0100007fa1f8;
9000,25000,71.0,Harley-Davidson Late Shovel,07/1980,Gasoline,,Used,,/offers/harley-davidson-late-shovel-gasoline-black-b227ffc1-ff3b-2c1b-e053-0100007f1ccc;
12500,20000,102.0,Honda CRF 100,07/2018,Gasoline,,Used,,/offers/honda-crf-100-gasoline-blue-82d740c4-d927-6d07-e053-0100007fae4d;
10750,6000,145.0,Kawasaki Z 1000,05/2019,Gasoline,,Used,SX DE 2019 AVEC 6000 KMS ETAT NEUF GARANTIE DE 12,/offers/kawasaki-z-1000-sx-de-2019-avec-6000-kms-etat-neuf-garantie-de-12-gasoline-green-41e5495e-db8a-4daf-acc6-c7961d708e6d;
10790,16829,79.0,Triumph Bonneville T120,01/2016,,,Used,,/offers/triumph-bonneville-t120-black-8a5ed8a3-36cc-4a37-9817-1549e2018b9f;
11500,30000,170.0,KTM 1190 RC8,06/2012,Gasoline,Manual,Used,,/offers/ktm-1190-rc8-gasoline-black-9ed6b47a-88b6-4b81-ac8d-72a36c8755c9;
7200,1,1.0,Yamaha RD 350,01/1983,Two Stroke Gasoline,,Antique / Classic,4L0 - FMI,/offers/yamaha-rd-350-4l0-fmi-two-stroke-gasoline-blue-03110eba-d9be-5e38-e053-0100007f7983;
10890,2800,,BMW C 650 GT,06/2020,Gasoline,,Used,,/offers/bmw-c-650-gt-gasoline-black-2406a87f-f8e1-4c6b-82ac-2a8e02d8775c;
11990,26700,,Kawasaki Versys 1000,01/2017,,Manual,Used,GRAND TOURER,/offers/kawasaki-versys-1000-grand-tourer-black-29671f56-c291-4904-a803-65ac1b4912d9;
22490,250,110.0,Zero,05/2021,Electric,Automatic,Demonstration,SR F Premium 6KW Ladung Modell 2021,/offers/zero-others-sr-f-premium-6kw-ladung-modell-2021-electric-grey-21dbf577-55c7-4e21-bae8-8745b572a750;
30000,500,109.0,Bimota 500 V,01/2000,Gasoline,,Used,,/offers/bimota-500-v-gasoline-red-c55cbec4-bb6b-031f-e053-0100007ff3a6;
1000,777,11.0,KSR Moto Sirion 125,06/2018,Gasoline,,Used,,/offers/ksr-moto-sirion-125-gasoline-red-81781c67-aa63-4810-99bb-5e14e89d1b9e;
7150,4350,69.0,Online,05/2020,Gasoline,,Used,,/offers/online-others-gasoline-blue-6fa103c2-1a32-8e46-e053-0100007f7329;
11500,5917,,Triumph Thruxton,06/2016,Gasoline,,Used,,/offers/triumph-thruxton-gasoline-black-aa1bc3f2-2fc2-460d-b48c-fc9450ba9e4b;
11990,8598,,Yamaha Niken,11/2018,Gasoline,,Used,,/offers/yamaha-niken-gasoline-grey-048fa9b6-d7e3-4ffb-ba44-fa31c84dddce;
23950,14200,,Harley-Davidson Road King,09/2017,,,Used,FLHRXS SPECIAL 107,/offers/harley-davidson-road-king-flhrxs-special-107-973da54e-acf1-4a51-a59b-25ff8953b97b;
12850,15027,67.0,Harley-Davidson Road King,07/2000,Gasoline,Manual,Used,FLHRCI Classic Vele Extra s VANCE HINES/TASSEN/SCH,/offers/harley-davidson-road-king-flhrci-classic-vele-extra-s-vance-hines-tassen-sch-gasoline-black-604160ab-6bbe-4c29-b357-b3d934673276;
17500,19000,160.0,Ducati XDiavel,09/2016,Gasoline,,Used,S 1260,/offers/ducati-xdiavel-s-1260-gasoline-black-585adcc3-96e2-7865-e053-0100007f2260;
6200,22415,90.0,BMW F 800 GT,06/2013,Gasoline,Manual,Used,*,/offers/bmw-f-800-gt--gasoline-white-b5feb63d-2816-4b47-94c7-413ac3dd5bcb;
21354,2500,165.0,BMW S 1000 XR,03/2021,Gasoline,Manual,Demonstration,M-Carbon|Touren|Dynamik Paket,/offers/bmw-s-1000-xr-m-carbon-touren-dynamik-paket-gasoline-grey-23049b06-4847-4497-81f4-86e370026dc4;
10950,29900,,Ducati Multistrada 1200,02/2013,Gasoline,,Used,S TOURING NIEUWSTA,/offers/ducati-multistrada-1200-s-touring-nieuwsta-gasoline-silver-71b9b1bd-8e94-4101-a1e3-fd79dcbe1615;
8300,30000,95.0,Triumph Tiger 800,08/2017,Gasoline,,Used,,/offers/triumph-tiger-800-gasoline-blue-f3b761c5-6a15-9f1b-e053-0100007ff7ba;
8200,1,15.0,TM SMR 300 2T,12/2018,Two Stroke Gasoline,Manual,Used,SUPERMOTARD,/offers/tm-smr-300-2t-supermotard-two-stroke-gasoline-white-d4711ce5-694c-48c0-ad03-7c147ca7268a;
8500,16000,751.0,Honda X-ADV,07/2018,Gasoline,,Used,sport,/offers/honda-x-adv-sport-gasoline-white-040358fa-5326-4506-863c-dea635c69dcb;
1500,5000,5.0,Mash City,07/2019,Gasoline,,Used,vend ou échange contre moto 50cc,/offers/mash-city-vend-ou-echange-contre-moto-50cc-gasoline-white-e38d8322-335d-4580-b311-3c696bf28855;
10990,6035,,Honda X-ADV,06/2020,Gasoline,,Used,750,/offers/honda-x-adv-750-gasoline-silver-0e5dab93-f359-414e-9ef7-51b43280e182;
26980,12366,75.0,Harley-Davidson,04/2013,Gasoline,Manual,Used,Breakout*260er*LED*Gestretchter Tank*All Black*,/offers/harley-davidson-others-breakout-260er-led-gestretchter-tank-all-black-gasoline-black-9da97253-6abf-4076-bb0b-263760514acb;
8300,35722,60.0,BMW C 650 GT,09/2018,Gasoline,Automatic,Used,PACK HIGHLINE,/offers/bmw-c-650-gt-pack-highline-gasoline-black-58ca26d8-8bf5-4789-af57-8ea9cd763e12;
15200,7500,125.0,BMW R 1200 RT,10/2018,Gasoline,,Used,,/offers/bmw-r-1200-rt-gasoline-black-1dc917c3-bc40-3919-e053-0100007f712c;
2200,15015,,Piaggio XEvo 125,04/2012,Gasoline,,Used,,/offers/piaggio-xevo-125-gasoline-black-f85a3235-a0a6-4d91-8730-91574ef69411;
12490,3026,48.0,BMW F 900 XR,02/2021,Gasoline,Manual,Used,,/offers/bmw-f-900-xr-gasoline-white-c6e94d16-3ca6-4173-8d2e-bd76b1d391e0;
7490,6589,45.0,Piaggio MP3 500,06/2021,Gasoline,,Used,LT HPE Sport,/offers/piaggio-mp3-500-lt-hpe-sport-gasoline-green-2f8c4ba5-43aa-4c80-8234-ac8592975117;
2500,1315,44.0,Vespa Primavera 50,05/2018,Gasoline,,Used,,/offers/vespa-primavera-50-gasoline-white-93ac3ec6-7ddc-6747-e053-0100007f622b;
8950,36700,,Yamaha YZF-R1,03/2011,Gasoline,,Used,BIG-BANG AKRA NIEUWSTAAT!!,/offers/yamaha-yzf-r1-big-bang-akra-nieuwstaat-gasoline-white-c5e153ef-b7f7-4eac-a10c-482e3495f5e9;
10000,1600,65.0,Triumph Bonneville T100,05/2021,Gasoline,,Used,,/offers/triumph-bonneville-t100-gasoline-blue-e7408334-d416-4930-a52b-7d3e76956c16;
9999,0,,Honda NC 750,01/2021,,,New,X DCT,/offers/honda-nc-750-x-dct-black-eecf79ac-4e27-479a-a04a-e88fd36f3823;
899,120,1.0,Access,10/2020,Electric,Automatic,Used,Access 37′ Offroad E-Scooter/ reduzierter Vorf.,/offers/access-other-access-37-offroad-e-scooter-reduzierter-vorf-electric-orange-e69329bb-0ca5-4915-b130-06f8b8dec29c;
2290,50900,22.0,Piaggio MP3 300,11/2010,Gasoline,Automatic,Used,,/offers/piaggio-mp3-300-gasoline-red-d85c7004-6ce1-4b6f-aec7-35f8434d75f5;
1000,78000,12.0,Honda SH 150,05/2009,Gasoline,Automatic,Used,,/offers/honda-sh-150-gasoline-black-cb7b75c6-f300-3327-e053-0100007fb744;
16199,0,,Kawasaki Ninja 1000SX,01/2021,,,New,,/offers/kawasaki-ninja-1000sx-green-4d6dc01c-d210-440d-be30-d0471906c068;
6745,1057,54.0,Honda NC 750,03/2020,Gasoline,Automatic,Used,S DCT,/offers/honda-nc-750-s-dct-gasoline-red-a8e2e626-1d0c-4e76-8ae1-6ee6b358ed90;
12500,31213,76.0,Harley-Davidson Dyna Super Glide,01/2010,Gasoline,Manual,Used,,/offers/harley-davidson-dyna-super-glide-gasoline-black-8043d7bf-3153-663b-e053-0100007f6ce5;
8899,48040,129.0,Honda Crosstourer,01/2013,Gasoline,Manual,Used,,/offers/honda-crosstourer-gasoline-red-2c985bc4-15a8-6b75-e053-0100007ffc5a;
6990,7000,82.0,Ducati Monster 796,01/2011,Gasoline,Manual,Used,,/offers/ducati-monster-796-gasoline-black-00945b62-d520-4f2a-a42a-756156d601f4;
7490,5512,33.0,Yamaha X-Max 400,01/2020,,,Used,TECH MAX,/offers/yamaha-x-max-400-tech-max-grey-44caee9b-0316-4bde-98e5-1731a769d22e;
11250,38800,125.0,BMW R 1200 GS,04/2013,Gasoline,,Used,,/offers/bmw-r-1200-gs-gasoline-red-9d4deef4-eb6e-43e1-a4df-10b6e9b234f8;
10500,24000,125.0,Suzuki Intruder M,05/2007,Gasoline,,Used,,/offers/suzuki-intruder-m-gasoline-black-2e51540b-696a-4558-a473-26f7fafe6dc7;
9200,12000,131.0,Kawasaki Ninja ZX-6R,03/2017,Gasoline,,Used,,/offers/kawasaki-ninja-zx-6r-gasoline-green-5c83d0c4-e044-4477-e053-0100007f54b9;
15499,0,,Suzuki V-Strom 1050,01/2021,,,New,XT,/offers/suzuki-v-strom-1050-xt-yellow-451445fe-ba37-46c9-bbcb-e919f2c0de96;
299,10800,5.0,SYM GTS 300,03/2005,Gasoline,,Used,,/offers/sym-gts-300-gasoline-blue-0a63b38d-37c0-405a-b5a6-7206414d35e1;
13489,18381,140.0,Ducati 899 Panigale,11/2013,Gasoline,Manual,Used,DUCATI Limbächer,/offers/ducati-899-panigale-ducati-limbaecher-gasoline-red-ccd85ea6-9886-4ebd-b3ba-1c38851e74d2;
8000,12000,95.0,Ducati Monster 1100,06/2011,Gasoline,,Used,,/offers/ducati-monster-1100-gasoline-red-4865c337-eaf9-465e-ba29-9b2ef0eeb5dd;
16390,2500,136.0,BMW R 1250 RS,03/2021,Gasoline,Manual,Demonstration,LED SCHEINWERFER,/offers/bmw-r-1250-rs-led-scheinwerfer-gasoline-black-9a190585-9382-4a2e-a72f-dde555fd41bb;
10795,47519,173.0,KTM 1290 Super Duke GT,02/2017,Gasoline,,Used,Tour ABS ** Nieuwstaat **,/offers/ktm-1290-super-duke-gt-tour-abs-nieuwstaat-gasoline-1e3378ed-dcb0-49b7-a6d5-486d0acf3a7c;
19999,16222,,Indian Chieftain,04/2018,Gasoline,,Used,DARKHORSE,/offers/indian-chieftain-darkhorse-gasoline-black-f465074d-8b4d-4eb9-aead-a915bbc2285e;
8000,90000,150.0,KTM 1190 Adventure,07/2014,Gasoline,,Used,,/offers/ktm-1190-adventure-gasoline-white-95084598-0407-4e58-815c-b2edad4242ac;
7100,3320,68.0,Kawasaki Ninja 650,06/2020,Gasoline,,Used,,/offers/kawasaki-ninja-650-gasoline-black-469299c2-8f4b-0178-e053-0100007f676d;
"6489,3835,54.0,Honda NC 750,06/2015,Gasoline,Manual,Used,""X - 1. Hand, HONDA Stuttgart"",/offers/honda-nc-750-x-1-hand-honda-stuttgart-gasoline-6097a410-0fc0-4794-a050-3e77f3c8de79";
7500,21000,60.0,BMW C 650 GT,01/2016,Gasoline,,Used,0,/offers/bmw-c-650-gt-0-gasoline-brown-8482ffe1-6b32-4451-bcc8-85cbec6a2b3e;
6700,10200,125.0,Suzuki GSX-R 600,07/2011,Gasoline,,Used,,/offers/suzuki-gsx-r-600-gasoline-white-56f23fbd-8eca-a309-e053-0100007fce2d;
9999,6900,79.0,Arctic Cat 1000,08/2017,Gasoline,Automatic,Used,,/offers/arctic-cat-1000-gasoline-white-6a88b4bf-5726-7514-e053-0100007f7865;
7698,0,,Honda,01/2021,,Automatic,New,FORZA 350,/offers/honda-others-forza-350-grey-a67cb2d9-4553-42d4-a8ab-161908effa28;
